137686.00	0.16	2.30	-2.46	0.01	0.03	0.18
137693.00	0.13	2.32	-2.46	0.01	0.03	0.18
137700.00	0.11	2.33	-2.44	0.01	0.02	0.18
137707.00	0.08	2.33	-2.41	0.01	0.02	0.18
137714.00	0.05	2.31	-2.37	0.01	0.02	0.18
137721.00	0.03	2.29	-2.32	0.01	0.02	0.18
137728.00	0.02	2.26	-2.28	0.01	0.01	0.18
137735.00	-0.00	2.23	-2.23	0.01	0.01	0.18
137742.00	-0.02	2.19	-2.17	0.01	0.01	0.18
137749.00	-0.04	2.16	-2.12	0.01	0.01	0.18
137756.00	-0.06	2.12	-2.07	0.01	0.01	0.18
137763.00	-0.07	2.09	-2.02	0.01	0.00	0.18
137770.00	-0.09	2.06	-1.97	0.01	0.00	0.18
137777.00	-0.11	2.03	-1.92	0.01	0.00	0.18
